2017,1,7618611.064516129
2017,2,8876450.785714285
2017,3,8955476.41935484
2017,4,8178985.833333333
2017,5,8939831.827586208
2017,6,7790440.0
2017,7,6757058.387096774
2017,8,6599688.064516129
2017,9,7246840.5
2017,10,8138961.129032258
2017,11,7578529.066666666
2017,12,7539380.677419355
2018,1,8135145.774193549
2018,2,9710137.92857143
2018,3,8713800.0
2018,4,9020981.7
2018,5,8654503.193548387
2018,6,8953159.9
2018,7,1.0391241935483871E7
2018,8,8394892.903225806
2018,9,8358084.0
2018,10,8482952.064516129
2018,11,1.01695437E7
2018,12,9371460.225806452
2019,1,1.018902458064516E7
2019,2,1.0817727392857144E7
2019,3,9913579.935483871
2019,4,1.0819890666666666E7
2019,5,1.0465042451612903E7
2019,6,1.0857143233333332E7
2019,7,1.1214812709677419E7
2019,8,1.0708007258064516E7
2019,9,1.04632976E7
2019,10,1.1164322903225806E7
2019,11,1.0746356433333334E7
2019,12,1.1001986903225806E7
2020,1,1.3611543E7
2020,2,1.2275200068965517E7
2020,3,1.1213416838709677E7
2020,4,9582862.366666667
2020,5,9113325.838709677
2020,6,9474377.933333334
2020,7,1.0972215129032258E7
2020,8,1.2249567838709677E7
2020,9,1.2756135466666667E7
2020,10,1.1171908677419355E7
2020,11,1.28059231E7
2020,12,1.204448235483871E7
2021,1,1.2761012483870968E7
2021,2,1.0721677142857144E7
2021,3,1.1661322709677419E7
2021,4,1.2896025933333334E7
2021,5,1.5425066774193548E7
2021,6,1.60089523E7
2021,7,1.4274800677419355E7
2021,8,1.4186574E7
2021,9,1.3402214233333332E7
2021,10,1.2857921677419355E7
2021,11,1.2087256933333334E7
2021,12,3323677.7741935486
